ETid,Country,Date of Decision,Fine (EUR),Sector,Type of Violation,Summary,manual_label,confidence,notes
1806,Spain,5/3/2023,200000,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 200,000 against GSMA LTD.. An individual had filed a complaint with the DPA because they had to transfer special categories of personal data (e.g., ID card data) to the controller in order to register for an event. In the course of its investigation, the DPA found that the controller had failed to conduct a data protection impact assessment for these processing operations.",not_cyber,High,"required special-category data, no DPIA"
1382,France,9/13/2022,250000,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The French DPA has imposed a fine of EUR 250,000 on GIE INFOGREFFE. The portal operates a website where people can access legal information about companies and order documents certified by the commercial courts.
As part of its investigation, the DPA found that the personal data of 25% of members and subscribers, such as bank details, surnames, first names, addresses and telephone numbers, were kept for longer than intended (36 months). The DPA considered this to be a violation of Art. 5 (1) e) GDPR. 

In addition, the DPA found that the portal did not require the use of a secure password when creating an account, resulting in 3.7 million accounts not having a sufficiently secure password. 

Furthermore, the portal transmitted passwords that allowed access to accounts unencrypted via email. Besides, the portal also stored the passwords and secret questions and answers used during the process of resetting passwords by users in a database without encryption.

For this reason, the DPA found that the portal had failed to implement adequate technical and organizational measures to protect personal data.",cyber_nonmalicious,Medium,retention + weak/transmitted passwords; mixed
1822,Hungary,4/22/2022,8000,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The Hungarian DPA has imposed a fine of EUR 8,000 on a party. The party had suffered a data protection breach resulting in six Excel files being made accessible on the Internet. The files contained personal data of party members. The incident affected approximately 2,000 data subjects. During its investigation, the DPA found that the party had failed to take appropriate technical and organizational measures to protect personal data, which allowed such an incident to occur.",cyber_nonmalicious,High,6 Excel files accessible on internet
832,Cyprus,9/6/2021,25000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 25,000 on Hellenic Technical Enterprises Ltd.. The controller hat designed the ticket sales system of the soccer clubs AC Omonia and APOEL FC. Due to a lack of security measures in the ticket sales system, it was possible for an unauthorized person to access and disclose personal data of fans on the club's website. This data involved the name, the fan card number and the ID number of the data subjects. The DPA concluded that the controller failed to implement adequate technical and organizational security measures. In separate proceedings, the DPA fined APOEL FC and AC Omonia for the same violations.",cyber_nonmalicious,Medium,ticket-system flaw exposed fan data
823,Spain,9/2/2021,4000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA (AEPD) has fined Automecanica Jerez, S.L. EUR 4,000. The controller had sent commercial e-mails to a large number of people without their consent. In doing so, the controller failed to hide the personal data of the recipients, such as surname, first name and email address, which allowed the other recipients to view the data. The AEPD considered this to be a violation of Article 5 (1) f) GDPR and Article 32 GDPR, as the controller had failed to implement technical and organizational measures to ensure an adequate level of security in the processing of personal data. Furthermore the AEPD found a breach of Art. 21 LSSI.",cyber_nonmalicious,High,commercial emails without hiding recipients (no BCC)
1230,Romania,6/15/2022,3000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on S.C. Wine Point S.R.L.. A data subject had filed a complaint with the DPA for having received an advertising e-mail from the controller, which contained a distribution list in which the e-mail addresses of 810 other persons, as well as their own, were visible to the other recipients. During its investigation, the DPA found that the controller had failed to take appropriate technical and organizational measures to ensure the confidentiality of the personal data processed.",cyber_nonmalicious,High,advertising email open distribution list
621,Spain,4/5/2021,3000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA (AEPD) has fined Kukimbia S.L. EUR 3,000. The controller is a company that stores, transports and distributes goods. Documents containing personal data about the controller's customers and suppliers were found freely accessible next to a trash can near one of the controller's warehouses. The DPA determined that the controller had violated Art. 32 GDPR.",cyber_nonmalicious,High,documents accessible near trash at warehouse (physical)
2491,Poland,11/20/2024,358000,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 358,000 on a company. The company had inadvertently published customer data (first name, last name, email address, home address, encrypted passwords) in the process of redesigning its website. The incident affected approximately 20,000 data subjects. The DPA found that the controller had not sufficiently ensured the security of personal data during the process, for example, by conducting regular tests and risk assessments. Instead, it relied on information provided by the hired subcontractor without proper oversight.",cyber_nonmalicious,High,inadvertently published customer data during rebuild
504,Romania,12/29/2020,1000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA (ANSPDCP) fined Qualitance QBS SA EUR 1,000 for a violation of Art. 32 GDPR. The company had sent information by email to 295 individuals, disclosing the email addresses of the other recipients. The ANSPDCP noted that the company had not taken sufficient security measures to ensure the confidentiality of the personal data of the data subjects.",cyber_nonmalicious,High,email disclosed recipients addresses (no BCC)
2593,Estonia,7/15/2024,30000,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Estonian DPA imposed a fine of EUR 30,000 on Pere Sihtkapital SA. The controller conducted a survey on childless families. In the process, the controller failed to take all the necessary technical and organizational measures to ensure the required level of data protection. Pere Sihtkapital SA appealed against the decision. The outcome and status of the appeal are unknown.",unclear,Low,"survey, failed measures; vague"
2562,Spain,12/12/2024,3500000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 3.5 million on CAIXABANK, S.A. Following a complaint from customers, it was found that the mother of an account holder had access to a joint account via the bank's online platform, even though she was neither the account holder nor an authorized user. The DPA found that CaixaBank had not taken adequate technical and organizational measures to protect personal data. In addition, the principle of data protection by design and by default had been violated.",not_cyber,High,rape-testimony media case
1298,Italy,5/26/2022,50000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA imposed a fine of EUR 50,000 on the healthcare facility Azienda sanitaria universitaria Friuli Occidentale. Employees of the healthcare facility had accessed patients' health data even though they were not involved in the treatment of the patients and such access was not required. During its investigation, the DPA found that the healthcare facility's IT platform allowed any employee to access patients' personal data, even if they did not actually treat certain patients. In addition, the DPA found that the health care facility's IT platform did not install systems that indenfied improper use of the personal data.",cyber_nonmalicious,High,employees accessed patient data not treating (over-broad)
3201,Spain,4/15/2026,400000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 400,000 on CAIXABANK, S.A. The controller's customer service department forwarded the personal data of data subjects to an unrelated third party. This incident occurred due to human error, and the controller failed to implement adequate technical and organisational measures to prevent it. The original fine of EUR 500,000 was reduced to EUR 400,000 due to immediate payment by the controller.",cyber_nonmalicious,High,customer service forwarded data to third party (human error)
126,Romania,11/28/2019,,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"Original Fine Summary: ING Bank has not taken appropriate technical and organisational measures for an automated data processing system during the settlement process of card transactions affecting 225,525 customers, resulting in double transactions being executed between 8 and 10 October. Update: The Bucharest Court of Appeal overturned the fine of EUR 80,000.",cyber_nonmalicious,Low,"automated settlement error, double transactions; borderline"
2342,Spain,3/21/2024,5000,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 5,000 on HIPERBAZAR YONGFA 2018 SL. A person had filed a complaint with the DPA against the controller. The controller had provided recordings from his video surveillance system showing the data subject to a third party who then published them on Facebook.",cyber_nonmalicious,Low,CCTV footage disclosed & published; borderline
476,Spain,12/2/2020,10000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA (AEPD) imposed a fine on Losada Advocats S.L. for sending an e-mail to dozens of recipients without putting them on the Blind Carbon Copy (BCC) list, thus violating Art. 32 GDPR and Art. 5 (1) f) GDPR.",cyber_nonmalicious,High,email without BCC
1715,Spain,3/21/2023,40000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on TITANIA COMPAÑÍA EDITORIAL, S.L.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization. The original fine of EUR 50,000 was reduced to EUR 40,000 due to voluntary payment.",not_cyber,High,rape-testimony media case
1188,United Kingdom,3/10/2022,115000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The UK DPA (ICO) has fined law firm Tuckers Solicitors LLP EUR 115,000. Tuckers suffered a ransomware attack on its systems, which resulted in a personal data breach. As part of its investigation, the DPA determined that Tuckers had failed to take appropriate technical and organizational measures to protect personal data. This failure left its systems vulnerable to malicious attacks. The attackers managed to encrypt 972,191 individual files of which 24,712 were related to court proceedings and to siphon off 60 files and publish them in underground data marketplaces. The files contained both personal and special category data, such as medical records, witness statements, names and addresses of witnesses and victims, and the alleged crimes of data subjects.",cyber_malicious,High,ransomware attack (Tuckers)
2428,Poland,5/20/2024,336000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 336,000 on a company. The company had suffered a ransomware attack on their systems which resulted in the loss of personal data. During its investigation the DPA found that the company had failed to install adequate technical and organizational measures to protect personal data, allowing such an attack to occur.",cyber_malicious,High,ransomware attack
2561,United Kingdom,3/26/2025,3500000,Health Care,Insufficient technical and organisational measures to ensure information security,"The UK DPA (ICO) has fined Advanced Computer Software Group Ltd £3.07 million (EUR 3.5 million) for insufficient IT security (infringiment of Art. 32 (1) UK GDPR). The controller failed to implement appropriate technical and organisational measures to protect personal data. A ransomware attack in August 2022 allowed hackers to access systems of a health subsidiary via a customer account that lacked multi-factor authentication. As a result, the personal data of 79,404 individuals was put at risk.",cyber_malicious,High,"ransomware attack, no MFA"
58,United Kingdom,10/16/2020,22046000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"In July 2019, the ICO issued a notice of its intention to fine British Airways £183.39M for GDPR infringements which likely involve a breach of Art. 32 GDPR. The proposed fine relates to a cyber incident notified to the ICO by British Airways in September 2018. This incident in part involved user traffic to the British Airways website being diverted to a fraudulent site. Through this false site, customer details were harvested by the attackers. Personal data of approximately 500,000 customers were compromised in this incident, which is believed to have begun in June 2018. The ICO’s investigation has found that a variety of information was compromised by poor security arrangements at the company, including log in, payment card, and travel booking details as well name and address information.

In the meantime, the final fine imposed on the airline has been set at £20 million (approximately EUR 22,046,000). The ICO emphasized that when setting the amount of the fine, it also took into account the economic impact of the COVID-19 (""Coronavirus"") pandemic on the airline industry.",cyber_malicious,High,"BA cyber incident; traffic diverted, data harvested"
1287,Spain,7/19/2022,4000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Spanish Data Protection Agency has imposed a fine of EUR 4,000 on an employee of a bookstore. An individual had filed a complaint with the DPA because he had received an invoice from another person containing that person's personal data. The employee had inadvertently sent the invoice to the wrong recipient.",cyber_nonmalicious,High,invoice to wrong recipient
1714,Spain,3/21/2023,40000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on EDITORIAL DE PRENSA CANARIA, S.A.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization. The original fine of EUR 50,000 was reduced to EUR 40,000 due to voluntary payment.",not_cyber,High,rape-testimony media case
2551,Spain,1/17/2025,8000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL NTRA. SRA. DEL ROSARIO. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 10,000 was reduced to EUR 8,000 due to voluntary payment.",cyber_malicious,High,cyber attack (Caja Rural)
716,Sweden,6/7/2021,25000,Health Care,Insufficient fulfilment of information obligations,"The Swedish DPA has imposed a fine of EUR 25,000 on Region Värmland. The fine is related to an investigation against three companies and three Swedish regions. 

In all 21 regions of Sweden, a telephone hotline that offers advice on various health-related topics can be reached by dialing 1177. Each region operates its own health advice service, either internally or through contracted subcontractors, but together they form a national network.
In 2019, the media reported that recorded calls to the 1177 helpline were available on a web server without password protection or other security measures. 
All calls to the 1177 number initially went to the company Inera, which managed and developed the shared systems. Calls to the number 1177 from people living in the Stockholm, Sörmland and Värmland regions were put through by Inera to Medhelp AB, which took the calls. Medhelp had in turn contracted the Thai company Medicall Co Ltd. to take calls on weekends and at night. Both Medhelp and Medicall had a contract with the technology company Voice Integrate Nordic AB for, among other things, call recordings. A data breach had then occurred in which recordings of calls to the number 1177 were available on the Internet on a storage server belonging to Voice Integrate. 
The incident resulted from the misconfiguration of a network-attached storage device that was publicly accessible over the Internet and did not use encrypted communications. A large number of calls were accessed due to the vulnerability. 

The DPA imposed the fine on Region Värmland for collecting call data from data subjects without first properly informing them of its processing.",cyber_nonmalicious,High,1177 case (recordings on open server)
1832,Bulgaria,5/4/2022,500000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Bulgarian DPA has imposed a fine of EUR 500,000 on Bulgarian Posts EAD. The controller had suffered a hacking attack, during which the attackers managed to access the controller's databases. During its investigation, the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data in order to avoid a data breach.",cyber_malicious,High,hacking attack
2899,United Kingdom,10/15/2025,6880000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The UK DPA has imposed a fine of £ 6,000,000 (EUR 6,880,000) on CAPITA PENSION SOLUTIONS LIMITED. CAPITA PENSION SOLUTIONS LIMITED acts as the data processor for the CAPITA Group, which has suffered a cyber attack. The processor failed to implement adeqaute technical and organisational measures to ensure data security and also failed to adequatly react to the incident.",cyber_malicious,High,cyber attack (Capita Pension)
1684,Romania,3/15/2023,4000,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has fined the Partidul Uniunea Salvați România party EUR 4,000. The controller had suffered a phishing attack in which the attackers gained unauthorized access to personal data such as first name, last name, email, phone number, as well as data on the political affiliation of the data subjects. The DPA found that the controller had failed to implement adequate technical and organizational measures such as data encryption to protect personal data, which facilitated such an attack.",cyber_malicious,High,phishing attack
2457,Poland,8/20/2024,940000,"Finance, Insurance and Consulting",Insufficient fulfilment of data breach notification obligations,"The Polish DPA has fined mBank EUR 940,000. The bank had suffered a data breach in which an employee of the controller sent documents containing customer data to the wrong recipient. The documents contained information such as names, account numbers, dates of birth and ID card numbers. Although the documents were returned to mBank, the envelope had been opened , meaning that third parties may have had access to the documents. During its investigation, the DPA found that, although the controller informed the DPA of the incident, it failed to notify the data subjects in a timely manner.",cyber_nonmalicious,High,employee sent docs to wrong recipient
3071,Romania,3/25/2026,125000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 125,000 on RENAULT COMMERCIAL ROUMANIE S.R.L. The controller suffered a successful cyber attack due to insufficient technical and organisational measures to ensure data security, resulting in a large quantity of personal data being published on a platform. Additionally, the controller failed to use data processors that could guarantee the technical and organisational measures ensuring data security.",cyber_malicious,High,successful cyber attack
748,Luxembourg,6/11/2021,7200,Employment,Non-compliance with general data processing principles,"The DPA from Luxembourg (CNPD) has imposed a fine of EUR 7,200 on a company. The company had installed a video surveillance system to protect the company's assets, prevent intrusion by unauthorized persons and prevent accidents. However, the cameras also captured parts of an employee's work area and the smoking area that employees frequently used. Furthermore, the controller had installed location sensors on the cars in its fleet. This was intended to optimize the company's operations.

The DPA finds that the recording of employees was not necessary to ensure the purposes associated with the video surveillance and was therefore disproportionate. The DPA states that the controller thus violated the principle of data minimization under Article 5 (1) c) of the GDPR.

The location data collected by the controller was stored for a period of eight months, although this would not have been necessary for the purposes of the processing. The DPA considered this to be a violation of the principle of data retention. 

Furthermore, the DPA found a violation of the information obligations set out in Art. 13 GDPR. 

Finally, the DPA found a violation of Art. 32 (1) GDPR. All persons who had authorized access to the software via which the locations could be tracked used the same account and not an individual account.",not_cyber,High,CCTV/employee monitoring + fleet trackers
190,Germany,10/24/2019,100000,Accomodation and Hospitality,Insufficient technical and organisational measures to ensure information security,"The company had set up an applicant portal on its website where interested parties could submit their application documents online. However, the company did not offer an encrypted transmission of the data, nor did it store the applicant data in an encrypted or password-protected manner. In addition, the unsecured applicant data was linked to Google, so that anyone searching for the respective applicant names on Google could find their application documents and retrieve them without access restrictions.",cyber_nonmalicious,High,applicant portal unencrypted; Google-indexed
936,Spain,11/23/2021,40000,"Media, Telecoms and Broadcasting",Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has imposed a fine on Vodafone España, S.A.U.. A data subject had filed a complaint with the DPA as the controller had transferred her cell phone line to another person without her consent due to a technical error. In addition, the data subject's account was debited with amounts that belonged to a third party's phone line. The DPA found that Vodafone had unlawfully processed the data subject's data. The original fine of EUR 50,000 was reduced to EUR 40,000 due to voluntary payment.",not_cyber,Low,line transferred via technical error (legal basis)
1436,Romania,9/21/2022,5000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 5,000 on Curtea Veche Publishing SRL. 

The controller had reported two data breaches to the DPA pursuant to Art. 33 GDPR.  

In the first data breach, the controller had inadvertently published a file containing the customer database in a public forum. 
This resulted in the unauthorized disclosure of personal data such as first name, last name, phone number, email, password in encrypted form and IP address of 10,793 customers. 

The second data breach concerned a ransomware attack that resulted in unauthorized access and loss of integrity as well as availability of personal data of about 100 data subjects.

During its investigation, the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data. This failure to implement protective measures permitted the data breaches to occur.",cyber_malicious,Medium,two breaches: public-forum exposure + ransomware
2220,Spain,10/25/2023,6100000,Transportation and Energy,Non-compliance with general data processing principles,"The Spanish DPA has fined ENDESA ENERGÍA, S.A.U. EUR 6,1 million due to a security breach resulting in unauthorized access to its systems. The controller had informed the DPA that certain Facebook ads had been placed offering the sale of login credentials for the Endesa platform, resulting in the compromise of data such as names, first names, ID numbers, telephone numbers, email addresses, postal addresses, bank account numbers, of millions of individuals. 

The DPA found that the controller had failed to implement appropriate technical and organizational measures to protect personal data in order to prevent such incidents. In addition, the controller failed to inform the DPA and the data subjects of the security incident in a timely manner. Finally, the DPA found that the controller did not implement adequate safeguards for the transfer of personal data to countries not covered by an adequacy decision of the EU Commission.",cyber_malicious,High,credentials sold on Facebook; compromise
2539,Spain,1/17/2025,88000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DE
EXTREMADURA S.C.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 110,000 was reduced to EUR 88,000 due to voluntary payment.",cyber_malicious,High,cyber attack (Caja Rural)
2582,Spain,1/16/2025,72000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL CENTRAL, S.C.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 90,000 was reduced to EUR 72,000 due to voluntary payment.",cyber_malicious,High,cyber attack (Caja Rural)
2558,Spain,2/5/2024,3500000,Transportation and Energy,Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 3.5 million on I-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U. The controller had suffered a cyber attack on its GEA web application resulting in the compromise of personal data of millions of customers. During its investigation, the DPA found that Iberdrola had not taken sufficient security measures to prevent the attack.",cyber_malicious,High,cyber attack on web app
2756,Romania,7/23/2025,5000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 5,000 on Agricola International SA. The controller failed to implement sufficient technical and organisational measures, resulting in a cyber attack.",cyber_malicious,High,cyber attack
1502,Ireland,11/25/2022,265000000,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Irish DPA has fined Meta Platforms Ireland Limited EUR 265 million. The DPA had launched an investigation against Meta in 2021 after media reports indicated that a dataset containing personal data from Facebook had been made available on a hacking platform. The data leak affected up to 533 million users with their data such as phone numbers and email addresses.  
As part of the investigation, the DPA reviewed and assessed the Facebook Search, Facebook Messenger Contact Importer and Instagram Contact Importer tools. The DPA primarily reviewed the implementation of technical and organizational measures to protect personal data and found a breach of Art. 25 GDPR",cyber_malicious,Medium,scraped data posted on hacking platform
1677,Ireland,12/30/2022,15000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Irish DPA (DPC) has fined A&G Couriers Limited T/A Fastway Couriers (Ireland) EUR 15,000. During a changeover of its IT systems, the controller had suffered a cyberattack in which unauthorized third parties gained access to personal data. The DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data, which facilitated such an attack.",cyber_malicious,High,cyberattack during IT changeover
725,The Netherlands,2/4/2021,12000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Dutch DPA (AP) has fined an orthodontic clinic EUR 12,000. The web form that new patients used to sign up contained mandatory fields for all sorts of patient personal data. The data that the patients (mostly children) entered into the form was then sent to the orthodontic clinic via an unencrypted - and thus unsecured - connection. This presented the risk of unauthorized third parties accessing the personal data of the data subjects.",cyber_nonmalicious,High,web-form data sent unencrypted
2552,Spain,1/17/2025,80000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DE ALBACETE, CIUDAD REAL Y CUENCA, S.C.T. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 100,000 was reduced to EUR 80,000 due to voluntary payment.",cyber_malicious,High,cyber attack (Caja Rural)
2553,Spain,1/17/2025,200000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DE SALAMANCA, S.C.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 250,000 was reduced to EUR 200,000 due to voluntary payment.",cyber_malicious,High,cyber attack (Caja Rural)
1618,Cyprus,2022,6000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 6,000 on Hermes Airport Ltd. The controller had suffered a cyber attack which, according to the DPA, had been caused due to a lack of technical and organizational measures for the protection of personal data and a lack of supervision of a processor.",cyber_malicious,High,cyber attack (Hermes Airport)
2656,United Kingdom,6/5/2025,2700000,Health Care,Insufficient technical and organisational measures to ensure information security,"The UK DPA imposed a fine of £ 2,310,000 (EUR 2,700,000) on 23andMe, Inc. The controller, a company offering DNA testing to private individuals, failed to implement sufficient technical and organizational measures to ensure data security, especially in regards to the sensitivity of the processed data. As a result, a cyberattack occurred, which led to a data breach affecting 155,592 UK-based users over the course of at least five months. The DPA considered the controller's failure to identify the attack earlier and its failure to adequately inform the DPA about the breach as aggravating factors.",cyber_malicious,High,cyberattack (23andMe)
703,Greece,5/12/2021,5000,Industry and Commerce,Insufficient fulfilment of data subjects rights,"The Hellenic DPA has imposed a fine of EUR 5,000 on ΚARIERA A.E.. A data subject had filed a complaint with the DPA against the controller due to the fact that the controller continued to send him e-mail advertisements even though he had requested the deletion of his data and the controller had confirmed the deletion. Due to a technical error, the data subject's data had not been deleted.",not_cyber,High,marketing after deletion (subject rights)
2557,Spain,2/7/2024,3000000,Transportation and Energy,Non-compliance with general data processing principles,"The Spanish DPA has fined IBERDROLA, S.A. EUR 3 million following a cyberattack on I-DE Redes, which led to the compromise of customer data from millions of individuals. Although the cyberattack targeted the GEA web application of I-DE Redes, Iberdrola, as the entity responsible for managing the group's IT systems and security infrastructure, was found to have failed in implementing sufficient security measures to prevent the incident.",cyber_malicious,High,cyberattack on I-DE (Iberdrola)
495,Hungary,12/16/2020,1385,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Hungarian DPA (NAIH) imposed a fine of HUF 50,000 (EUR 1,385) on Next Time Media Ügynökség Kft. (Next Time Media Agency Ltd.). The web agency had been contracted by the travel agency Robinson Tours Idegenforgalmi és Szolgáltató Kft. (Robinson Tours Ltd.) to develop and operate the travel agency's online reservation system. However, the database was not only supplemented with test data, but also with real data of Robinson Tours' customers. In total, the data of 781 people was compromised. During the period from November 13, 2019, to February 4, 2020, these data were accessible to anyone and could be found via Google. The DPA found that Next Time Media Agency Ltd. did not take adequate technical and organizational measures to ensure the security of the personal data.",cyber_nonmalicious,High,test DB with real data indexed by Google
1754,Italy,1/26/2023,7000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has imposed a fine of EUR 7,000 on Azienda Ospedaliera Bianchi Melacrino Morelli. The controller had mistakenly sent a document containing health data of the data subject to the wrong recipient. The DPA found that the healthcare facility had not taken sufficient technical and organizational measures to protect personal data.",cyber_nonmalicious,High,health doc to wrong recipient
2144,Cyprus,11/22/2023,45000,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 45,000 on Open University of Cyprus. The university had suffered a data breach involving hackers publishing personal data of students, alumni etc. on the dark web. During its investigation, the DPA found that the university had failed to implement appropriate technical and organizational measures to protect personal data.",cyber_malicious,High,hackers published data on dark web
891,Romania,11/1/2021,5000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA (ANSPDCP) has imposed a fine of EUR 5,000 on S.P.E.H. Hidroelectrica S.A.. The controller had notified the DPA of several breaches of personal data protection under Art. 33 of the GDPR. The data breach led to the data of 325 individuals being accessed unlawfully or passed on to the wrong recipients. The DPA considered this to be a breach by the controller of its obligation under Art. 32 (1) b), (2) GDPR to implement appropriate technical and organizational measures to ensure a level of security appropriate to the risk represented by the processing.

In addition, the DPA found that the controller had processed personal data of three customers after they had exercised their right to erase their data and revoked their consent to the processing. The processing was therefore carried out without a valid legal basis. 

The DPA imposed a fine of EUR 5,000 for a breach of Art. 32 (1) b), (2) GDPR. 

For a violation of Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR, the DPA further issued a warning.",cyber_nonmalicious,Medium,data to wrong recipients / unauthorized access; mixed
2080,Italy,9/28/2023,30000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has fined Asl Napoli 3 Sud EUR 30,000.  
The healthcare facility had suffered a ransomware attack that used a virus to restrict access to the healthcare facility's database and demanded a ransom to restore the functionality of its systems.
During its investigation, the Garante DPA found that the controller had failed to install adequate technical and organizational measures to protect personal data. The incident affected data (including health data) of 842,000 patients and employees.",cyber_malicious,High,ransomware attack
1681,Romania,3/6/2023,3000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3000 on Integral Collection SRL. The controller had suffered a ransomware attack in which unauthorized third parties gained access to personal data such as address, credit card details, bank account information, telephone numbers etc. of data subjects.  During its investigation the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data.",cyber_malicious,High,ransomware attack
629,Italy,2/25/2021,6000,Health Care,Non-compliance with general data processing principles,"The Italian DPA (Garante) has imposed a fine of EUR 6,000 on Azienda Ospedaliera Universitaria Careggi for a breach of Art. 5 GDPR and Art. 9 GDPR. Azienda Ospedaliera Universitaria Careggi had notified the DPA of a data breach under Art. 33 GDPR regarding the transfer of health data to the wrong person. Medical documents of a patient had been sent by mail both to the affected patient and to another patient. The controller states that the incident occurred due to an error in the printing process. The ward where the affected patient was treated was only equipped with two printers, and one doctor had unknowingly also taken a colleague's print job (the affected patient's documents) when taking out his print job (the documents of the wrong recipient).",cyber_nonmalicious,High,health docs to wrong person (printing error)
